F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,TARGET1,TARGET2
1.138,1.5433333319999998,289964.0,22.49148333333333,111.28966666666666,7584.0,7584.0,737.1560000000002,561.15,823.7130000000002,109600.0,99800.0,594700.0,101900.0,0.07137,0.08199999999999999,0.95,0.975
2.088,3.086666664,6960180.0,22.9361,113.80781666666668,28204.0,28204.0,908.551,561.15,854.808,133100.0,99800.0,728200.0,101900.0,0.10655,0.287,0.95,0.975
3.144,4.6299999960000005,8379228.999999999,23.11261666666667,118.53018333333333,60358.0,60358.0,879.1519999999997,561.15,860.737,138900.0,99800.0,757400.0,102000.0,0.13086,0.259,0.95,0.975
4.1610000000000005,6.173333327999999,14724395.0,25.79108333333333,129.87716666666665,113774.0,113774.0,934.621,561.15,887.0010000000002,165800.0,99800.0,900700.0,102200.0,0.18109000000000008,0.358,0.95,0.975
5.14,7.71666666,21636432.0,32.07188333333333,141.57961666666662,175306.0,175306.0,1004.644,561.15,918.792,207800.0,99800.0,1119700.0,102600.0,0.26373,0.522,0.95,0.975
6.175,9.259999992000001,29792731.0,38.45673333333333,147.13933333333338,246278.0,246278.0,1073.5839999999996,561.15,949.547,250100.0,99800.0,1335600.0,103000.0,0.3576,0.708,0.95,0.975
7.148,10.803333324,38982180.0,44.63476666666666,152.20715,332077.0,332077.0,1127.897,561.15,973.1039999999999,296300.0,99800.0,1567900.0,103500.0,0.4588100000000001,0.908,0.95,0.975
8.206,12.346666655999998,50996808.0,51.45935,155.30936666666668,437989.0,437989.0,1225.272,561.15,1014.92,357600.0,99800.0,1863200.0,104000.0,0.6244,1.236,0.95,0.975
9.3,13.889999988,72763329.0,59.33991666666667,162.97546666666668,644905.0,644905.0,1388.9470000000001,561.15,1062.244,449800.0,99800.0,2281100.0,104900.0,0.92556,1.832,0.95,0.975
1.138,1.5433333319999998,379880.0,22.58958333333333,111.3986,7915.0,7915.0,737.1669999999997,561.15,824.135,110000.0,99800.0,596300.0,101900.0,0.03879,0.079,0.95,0.976
2.088,3.086666664,6969176.0,22.865666666666666,113.8073,27424.0,27424.0,909.11,561.15,854.59,133000.0,99800.0,727200.0,101900.0,0.12785,0.289,0.95,0.976
3.144,4.6299999960000005,8379307.000000001,23.11263333333333,118.57326666666664,60353.0,60353.0,878.319,561.15,860.587,138900.0,99800.0,756700.0,102000.0,0.13052,0.258,0.95,0.976
4.1610000000000005,6.173333327999999,14724544.0,25.7911,129.91076666666666,113795.0,113795.0,933.718,561.15,886.8380000000002,165700.0,99800.0,899799.9999999999,102200.0,0.18066,0.358,0.95,0.976
5.14,7.71666666,21636777.0,32.07188333333333,141.59495,175314.0,175314.0,1003.645,561.15,918.607,207800.0,99800.0,1118500.0,102600.0,0.26316,0.521,0.95,0.976
6.175,9.259999992000001,29792983.0,38.45646666666666,147.15656666666666,246295.0,246295.0,1072.448,561.15,949.32,250100.0,99800.0,1334200.0,103000.0,0.35686999999999997,0.7070000000000001,0.95,0.976
7.148,10.803333324,38981896.0,44.63476666666666,152.21553333333338,332208.0,332208.0,1126.851,561.15,972.929,296300.0,99800.0,1566100.0,103500.0,0.45799,0.907,0.95,0.976
8.206,12.346666655999998,50997234.00000001,51.45971666666666,155.31558333333334,438098.0,438098.0,1224.223,561.15,1014.755,357500.0,99800.0,1861100.0,104000.0,0.62342,1.234,0.95,0.976
9.3,13.889999988,72763515.0,59.34001666666666,162.98851666666667,644963.0,644963.0,1388.0369999999998,561.15,1062.099,449600.00000000006,99800.0,2278400.0,104900.0,0.92448,1.83,0.95,0.976
1.138,1.5433333319999998,753021.0,22.864766666666664,111.63063333333332,8858.0,8858.0,746.815,561.15,826.293,111700.0,99800.0,604700.0,101900.0,0.0,0.08800000000000001,0.95,0.977
2.088,3.086666664,6961726.0,22.85095,113.8394,27259.0,27259.0,908.283,561.15,854.3939999999999,133000.0,99800.0,726200.0,101900.0,0.13192,0.289,0.95,0.977
3.144,4.6299999960000005,8379456.0,23.11265,118.61645,60356.0,60356.0,877.4879999999997,561.15,860.4359999999997,138900.0,99800.0,755900.0,102000.0,0.13018000000000002,0.258,0.95,0.977
4.1610000000000005,6.173333327999999,14724616.000000002,25.7911,129.94428333333335,113801.0,113801.0,932.816,561.15,886.674,165700.0,99800.0,898900.0000000001,102200.0,0.18023,0.35700000000000004,0.95,0.977
5.14,7.71666666,21636925.0,32.07191666666667,141.6101666666667,175282.0,175282.0,1002.6469999999999,561.15,918.422,207800.0,99800.0,1117400.0,102600.0,0.2626,0.52,0.95,0.977
6.175,9.259999992000001,29793328.0,38.45628333333333,147.17388333333338,246220.0,246220.0,1071.316,561.15,949.093,250100.0,99800.0,1332800.0,103000.0,0.35613,0.705,0.95,0.977
7.148,10.803333324,38981432.0,44.63476666666666,152.22386666666668,332108.0,332108.0,1125.808,561.15,972.754,296200.0,99800.0,1564400.0,103500.0,0.45717,0.905,0.95,0.977
8.206,12.346666655999998,50997566.0,51.46001666666667,155.32176666666666,438134.0,438134.0,1223.177,561.15,1014.591,357400.0,99800.0,1858900.0,104100.0,0.62245,1.232,0.95,0.977
9.3,13.889999988,72764565.0,59.34005,163.00171666666662,645076.0,645076.0,1387.1349999999998,561.15,1061.9560000000001,449500.0,99800.0,2275600.0,104900.0,0.92342,1.828,0.95,0.977
1.138,1.5433333319999998,1341723.0,23.19338333333333,111.9019,10018.0,10018.0,763.8109999999997,561.15,829.7669999999997,114200.0,99800.0,618500.0,101900.0,0.0,0.107,0.95,0.978
2.088,3.086666664,6895321.0,22.78071666666667,113.83861666666668,26481.0,26481.0,906.801,561.15,853.9110000000002,132600.0,99800.0,723900.0,101900.0,0.15319000000000002,0.289,0.95,0.978
3.144,4.6299999960000005,8379548.000000001,23.11265,118.65958333333332,60351.0,60351.0,876.659,561.15,860.2860000000002,138900.0,99800.0,755200.0,102000.0,0.12983,0.257,0.95,0.978
4.1610000000000005,6.173333327999999,14724731.000000002,25.79111666666667,129.97788333333332,113797.0,113797.0,931.916,561.15,886.5110000000002,165700.0,99800.0,898000.0,102200.0,0.17980000000000002,0.35600000000000004,0.95,0.978
5.14,7.71666666,21636973.0,32.07196666666667,141.62535,175300.0,175300.0,1001.651,561.15,918.238,207800.0,99800.0,1116200.0,102600.0,0.26203000000000004,0.519,0.95,0.978
6.175,9.259999992000001,29793658.0,38.45608333333333,147.19118333333333,246288.0,246288.0,1070.187,561.15,948.868,250000.0,99800.0,1331500.0,103000.0,0.3554,0.7040000000000001,0.95,0.978
7.148,10.803333324,38981087.0,44.63478333333333,152.2322166666667,332197.0,332197.0,1124.768,561.15,972.579,296100.0,99800.0,1562700.0,103500.0,0.45636000000000004,0.904,0.95,0.978
8.206,12.346666655999998,50997769.0,51.46028333333334,155.3279,438052.0,438052.0,1222.134,561.15,1014.427,357400.0,99800.0,1856800.0,104100.0,0.62148,1.23,0.95,0.978
9.3,13.889999988,72765436.0,59.34008333333333,163.01478333333338,645040.0,645040.0,1386.234,561.15,1061.8139999999999,449400.0,99800.0,2272900.0,104900.0,0.92235,1.826,0.95,0.978
1.138,1.5433333319999998,1836145.0,23.39523333333333,112.08571666666668,10747.0,10747.0,778.297,561.15,832.4499999999997,116300.0,99800.0,629300.0,101900.0,0.0,0.124,0.95,0.979
2.088,3.086666664,6846147.0,22.73783333333333,113.8549,26018.0,26018.0,905.315,561.15,853.54,132400.0,99800.0,722200.0,101900.0,0.16580999999999999,0.28800000000000003,0.95,0.979
3.144,4.6299999960000005,8379616.0,23.112666666666666,118.7027,60358.0,60358.0,875.8299999999997,561.15,860.1360000000002,138800.0,99800.0,754400.0,102000.0,0.12949000000000002,0.256,0.95,0.979
4.1610000000000005,6.173333327999999,14724795.0,25.79113333333333,130.01146666666668,113791.0,113791.0,931.019,561.15,886.3480000000002,165700.0,99800.0,897100.0,102200.0,0.17937,0.355,0.95,0.979
5.14,7.71666666,21637374.0,32.07196666666667,141.64069999999995,175283.0,175283.0,1000.66,561.15,918.054,207700.0,99800.0,1115100.0,102600.0,0.26147,0.518,0.95,0.979
6.175,9.259999992000001,29793951.0,38.45585,147.20843333333332,246254.0,246254.0,1069.061,561.15,948.643,250000.0,99800.0,1330100.0,103000.0,0.35467,0.7020000000000001,0.95,0.979
7.148,10.803333324,38980696.0,44.63476666666666,152.24056666666667,332154.0,332154.0,1123.73,561.15,972.405,296100.0,99800.0,1561000.0,103500.0,0.45555,0.902,0.95,0.979
8.206,12.346666655999998,50997922.0,51.46045,155.334,437996.0,437996.0,1221.0929999999996,561.15,1014.264,357300.0,99800.0,1854700.0,104100.0,0.62051,1.228,0.95,0.979
9.3,13.889999988,72766645.0,59.34008333333333,163.02786666666668,644879.0,644879.0,1385.3380000000002,561.15,1061.673,449300.00000000006,99800.0,2270100.0,104900.0,0.92129,1.824,0.95,0.979
1.138,1.5433333319999998,2208183.0,23.50148333333333,112.20413333333332,11143.0,11143.0,789.117,561.15,834.36,117800.0,99800.0,637200.0,101900.0,0.0,0.136,0.95,0.98
2.088,3.086666664,6838593.0,22.7466,113.90286666666664,26113.0,26113.0,904.052,561.15,853.372,132400.0,99800.0,721400.0,101900.0,0.16216000000000005,0.287,0.95,0.98
3.144,4.6299999960000005,8379728.999999999,23.112666666666666,118.74588333333332,60361.0,60361.0,875.005,561.15,859.9860000000001,138800.0,99800.0,753700.0,102000.0,0.12915,0.256,0.95,0.98
4.1610000000000005,6.173333327999999,14724872.0,25.79113333333333,130.04506666666666,113798.0,113798.0,930.124,561.15,886.185,165600.0,99800.0,896200.0,102200.0,0.17894000000000002,0.354,0.95,0.98
5.14,7.71666666,21637135.0,32.07203333333333,141.65574999999995,175329.0,175329.0,999.667,561.15,917.87,207700.0,99800.0,1113900.0,102600.0,0.2609,0.516,0.95,0.98
6.175,9.259999992000001,29794302.000000004,38.455733333333335,147.22576666666666,246236.0,246236.0,1067.9389999999999,561.15,948.418,250000.0,99800.0,1328700.0,103000.0,0.35393,0.701,0.95,0.98
7.148,10.803333324,38980287.00000001,44.63480000000001,152.2489,332194.0,332194.0,1122.695,561.15,972.232,296000.0,99800.0,1559200.0,103500.0,0.45473,0.9,0.95,0.98
8.206,12.346666655999998,50998050.0,51.46056666666666,155.34006666666667,438004.0,438004.0,1220.056,561.15,1014.102,357200.0,99800.0,1852500.0,104100.0,0.61954,1.226,0.95,0.98
9.3,13.889999988,72767018.0,59.3402,163.0407,644844.0,644844.0,1384.44,561.15,1061.532,449200.0,99800.0,2267400.0,104900.0,0.92023,1.822,0.95,0.98
1.138,1.5433333319999998,2951927.0,23.619633333333336,112.33515,11583.0,11583.0,811.472,561.15,838.0930000000002,120700.0,99800.0,652800.0,101900.0,0.0,0.162,0.95,0.981
2.088,3.086666664,6804076.0,22.7293,113.93436666666666,25915.0,25915.0,902.5169999999999,561.15,853.081,132300.0,99800.0,720000.0,101900.0,0.16701000000000002,0.28600000000000003,0.95,0.981
3.144,4.6299999960000005,8379829.0,23.11268333333333,118.78905,60364.0,60364.0,874.18,561.15,859.836,138800.0,99800.0,753000.0,102000.0,0.12880999999999998,0.255,0.95,0.981
4.1610000000000005,6.173333327999999,14724969.0,25.79115,130.07876666666667,113802.0,113802.0,929.231,561.15,886.0219999999997,165600.0,99800.0,895299.9999999999,102200.0,0.17852,0.353,0.95,0.981
5.14,7.71666666,21637620.0,32.072050000000004,141.67113333333333,175336.0,175336.0,998.681,561.15,917.687,207700.0,99800.0,1112800.0,102600.0,0.26034,0.515,0.95,0.981
6.175,9.259999992000001,29794580.0,38.4555,147.243,246315.0,246315.0,1066.821,561.15,948.194,249900.0,99800.0,1327300.0,103000.0,0.35320999999999997,0.6990000000000001,0.95,0.981
7.148,10.803333324,38979934.0,44.63480000000001,152.25723333333332,332058.0,332058.0,1121.663,561.15,972.059,296000.0,99800.0,1557500.0,103500.0,0.4539200000000001,0.899,0.95,0.981
8.206,12.346666655999998,50998096.0,51.46061666666667,155.34609999999995,438054.0,438054.0,1219.021,561.15,1013.94,357100.0,99800.0,1850400.0,104100.0,0.61857,1.225,0.95,0.981
9.3,13.889999988,72767717.0,59.34028333333333,163.05355,644801.0,644801.0,1383.5459999999994,561.15,1061.3919999999996,449000.0,99800.0,2264700.0,104900.0,0.91917,1.82,0.95,0.981
1.138,1.5433333319999998,3774812.0,23.6481,112.40588333333334,11699.0,11699.0,835.693,561.15,841.834,123600.0,99800.0,668800.0,101900.0,0.0,0.191,0.95,0.982
2.088,3.086666664,6606714.0,22.6488,113.92748333333334,25032.0,25032.0,897.747,561.15,852.125,131600.0,99800.0,715500.0,101900.0,0.18868,0.282,0.95,0.982
3.144,4.6299999960000005,8379928.0,23.11268333333333,118.83223333333332,60365.0,60365.0,873.3580000000002,561.15,859.6859999999997,138800.0,99800.0,752200.0,102000.0,0.12847,0.254,0.95,0.982
4.1610000000000005,6.173333327999999,14725068.000000002,25.791166666666665,130.11246666666665,113794.0,113794.0,928.34,561.15,885.86,165600.0,99800.0,894300.0,102200.0,0.17809000000000005,0.353,0.95,0.982
5.14,7.71666666,21637728.0,32.07208333333333,141.68635,175288.0,175288.0,997.696,561.15,917.504,207600.0,99800.0,1111600.0,102600.0,0.25977,0.514,0.95,0.982
6.175,9.259999992000001,29794844.0,38.45528333333333,147.26021666666662,246246.0,246246.0,1065.7060000000001,561.15,947.971,249900.0,99800.0,1325900.0,103000.0,0.35248,0.698,0.95,0.982
7.148,10.803333324,38979558.0,44.63480000000001,152.26555000000005,332152.0,332152.0,1120.6329999999996,561.15,971.886,295900.0,99800.0,1555800.0,103500.0,0.45311999999999997,0.897,0.95,0.982
8.206,12.346666655999998,50998040.0,51.46061666666667,155.3521,438031.0,438031.0,1217.9879999999996,561.15,1013.778,357000.0,99800.0,1848200.0,104100.0,0.61761,1.223,0.95,0.982
9.3,13.889999988,72768205.99999999,59.34038333333333,163.06626666666668,644965.0,644965.0,1382.6529999999998,561.15,1061.253,448900.0,99800.0,2261900.0,104900.0,0.91811,1.817,0.95,0.982
1.138,1.5433333319999998,4053735.0,23.63145,112.44116666666667,11648.0,11648.0,843.6239999999998,561.15,842.803,124500.0,99800.0,673000.0,101900.0,0.0,0.2,0.95,0.983
2.088,3.086666664,6563076.0,22.63723333333333,113.96295,24908.0,24908.0,895.8939999999999,561.15,851.7869999999997,131400.0,99800.0,713900.0,101900.0,0.19074000000000002,0.28,0.95,0.983
3.144,4.6299999960000005,8380079.0,23.1127,118.8755,60363.0,60363.0,872.5369999999997,561.15,859.5369999999997,138800.0,99800.0,751500.0,102000.0,0.12813000000000002,0.254,0.95,0.983
4.1610000000000005,6.173333327999999,14725087.0,25.791166666666665,130.14608333333334,113802.0,113802.0,927.451,561.15,885.698,165600.0,99800.0,893399.9999999999,102200.0,0.17767,0.35200000000000004,0.95,0.983
5.14,7.71666666,21637989.0,32.0721,141.70165,175321.0,175321.0,996.7139999999999,561.15,917.322,207600.0,99800.0,1110500.0,102600.0,0.25921,0.513,0.95,0.983
6.175,9.259999992000001,29795241.0,38.45518333333335,147.27758333333338,246255.0,246255.0,1064.594,561.15,947.749,249900.0,99800.0,1324600.0,103000.0,0.35176,0.696,0.95,0.983
